iter	MultiClass
0	1.264551084
1	1.163760566
2	1.081204528
3	1.012556863
4	0.9537496613
5	0.9006214279
6	0.8465223079
7	0.7996356214
8	0.7629260425
9	0.7318022717
10	0.697721822
11	0.6681044399
12	0.6424062669
13	0.6158722672
14	0.5919060102
15	0.5714987256
16	0.5508182146
17	0.5322986099
18	0.5181613045
19	0.5010719234
20	0.4858753059
21	0.4738444033
22	0.4615851926
23	0.4485979842
24	0.4347377086
25	0.4243401706
26	0.4157905482
27	0.406683924
28	0.3978957689
29	0.3890415786
30	0.3809588963
31	0.3735189304
32	0.3656207415
33	0.3580024605
34	0.3498193722
35	0.3422735644
36	0.3354376636
37	0.3282580775
38	0.3216315893
39	0.3162528929
40	0.3122052807
41	0.3068619426
42	0.3001442982
43	0.2951172204
44	0.2915122003
45	0.2865603499
46	0.2826005913
47	0.2787017397
48	0.2764948289
49	0.2723972245
50	0.269751043
51	0.2655818062
52	0.2624333314
53	0.2585763759
54	0.2560559237
55	0.2530346228
56	0.2503087609
57	0.2473955094
58	0.2458686864
59	0.2431236158
60	0.2416745632
61	0.2392953414
62	0.2360614889
63	0.2337737062
64	0.2322461247
65	0.2298807289
66	0.2279116129
67	0.2263771416
68	0.2244349219
69	0.2214302149
70	0.2200097298
71	0.2175251302
72	0.2153859987
73	0.2145871749
74	0.2132131913
75	0.2101220607
76	0.2084885484
77	0.2070257659
78	0.2054240131
79	0.2041674744
80	0.2028395572
81	0.2003905134
82	0.1985295689
83	0.1970108557
84	0.1958180111
85	0.1944937913
86	0.1934954957
87	0.1919599985
88	0.1904184616
89	0.1892244694
90	0.1883347194
91	0.1870296852
92	0.1855987092
93	0.1840269419
94	0.1835689559
95	0.1822906532
96	0.1810833045
97	0.1796445132
98	0.1788033101
99	0.1778140544
100	0.1770501678
101	0.175154851
102	0.1736932841
103	0.172686135
104	0.1715406763
105	0.1704756377
106	0.169298438
107	0.1681973273
108	0.1666973507
109	0.1660102979
110	0.1653836683
111	0.1644122596
112	0.1637640478
113	0.16263915
114	0.1615635754
115	0.1608999536
116	0.1599457752
117	0.1588361904
118	0.1583332843
119	0.1573051365
120	0.1569240537
121	0.1559411514
122	0.1553242083
123	0.1544921544
124	0.1540539923
125	0.1535381609
126	0.1526053629
127	0.1512517013
128	0.1504775411
129	0.1498578658
130	0.1491194516
131	0.1481880422
132	0.1471812112
133	0.1464140862
134	0.1454759437
135	0.1446762756
136	0.1437519174
137	0.1429889248
138	0.1418869899
139	0.141337565
140	0.1407148505
141	0.1399322953
142	0.1392294498
143	0.1383033943
144	0.137875146
145	0.1369788642
146	0.1367815045
147	0.1360364198
148	0.1356365232
149	0.1347779892
150	0.1337638075
151	0.1333155968
152	0.1325279937
153	0.1321146244
154	0.1317599788
155	0.1309594213
156	0.1305340328
157	0.1296956471
158	0.1291236868
159	0.1283977468
160	0.1279758098
161	0.127437123
162	0.1270227973
163	0.1264356997
164	0.1256069884
165	0.1248350052
166	0.1243444999
167	0.1240208905
168	0.1232788093
169	0.1226444895
170	0.1221825101
171	0.1212674848
172	0.120543372
173	0.1201023302
174	0.1198528892
175	0.1194650167
176	0.1189836835
177	0.118528883
178	0.1180748504
179	0.1176474635
180	0.1169056861
181	0.116460876
182	0.1161591236
183	0.1155456956
184	0.1150633151
185	0.1144753166
186	0.1140914125
187	0.1136144717
188	0.1129484028
189	0.1126589183
190	0.1122242851
191	0.1118115743
192	0.1115491688
193	0.11087702
194	0.110523753
195	0.1101185638
196	0.1097620447
197	0.1096734651
198	0.1092108941
199	0.108760307
200	0.1083178256
201	0.1079554977
202	0.1076596823
203	0.1070003345
204	0.1067386964
205	0.1063298185
206	0.1060251896
207	0.105619474
208	0.1053721843
209	0.1050204743
210	0.1043558014
211	0.1040973871
212	0.1035336915
213	0.1032176502
214	0.1028970839
215	0.1026529504
216	0.1025429779
217	0.1019968932
218	0.1017752551
219	0.1014377548
220	0.1009666745
221	0.1006735526
222	0.1000463919
223	0.09972455841
224	0.09938084872
225	0.09916084449
226	0.09861513025
227	0.09837358956
228	0.09813885958
229	0.09779208735
230	0.09736891492
231	0.0970466467
232	0.09672261641
233	0.09657573048
234	0.09639196275
235	0.0959774004
236	0.0955982011
237	0.09522237054
238	0.09502404458
239	0.09480329489
240	0.09464633935
241	0.09418679134
242	0.09394315691
243	0.09373960029
244	0.09349724213
245	0.09342597737
246	0.09290054479
247	0.09281225429
248	0.09232529895
249	0.09206257028
250	0.09189494875
251	0.09171275303
252	0.09143473977
253	0.09129254691
254	0.09077028014
255	0.09045180785
256	0.09016362469
257	0.08987980626
258	0.0894642401
259	0.08927677819
260	0.08901238048
261	0.08876139072
262	0.08860585436
263	0.08834608808
264	0.08813133785
265	0.08784050757
266	0.08763000995
267	0.08749508205
268	0.08717064784
269	0.08700845551
270	0.08673875621
271	0.086548095
272	0.08631365758
273	0.08619466113
274	0.08599140396
275	0.08585839392
276	0.08564946277
277	0.08545698068
278	0.08533824707
279	0.08515609476
280	0.08494909051
281	0.08474983331
282	0.08461711592
283	0.08434967319
284	0.08409623921
285	0.0839141443
286	0.08357453914
287	0.08339416182
288	0.08327125319
289	0.08294543725
290	0.08285861321
291	0.08269061154
292	0.08254176189
293	0.08225634303
294	0.08199329456
295	0.0816487652
296	0.08128125161
297	0.08114185294
298	0.08081266414
299	0.08064580782
300	0.08052488504
301	0.08017458092
302	0.07992140113
303	0.07974858436
304	0.07944590474
305	0.07923180497
306	0.07891335405
307	0.07867960477
308	0.07833643772
309	0.07825379683
310	0.07813317436
311	0.07780923373
312	0.07754337967
313	0.07734948071
314	0.07717502149
315	0.07689898941
316	0.0766719424
317	0.07651786732
318	0.07641076139
319	0.0760997998
320	0.07583519609
321	0.07573573488
322	0.07562031855
323	0.07541296252
324	0.07513573955
325	0.07492138323
326	0.07475801591
327	0.07447275374
328	0.07425552581
329	0.07413999835
330	0.07394447323
331	0.07380873433
332	0.07350240174
333	0.07329458988
334	0.07302928511
335	0.07275915068
336	0.07253021524
337	0.07237342316
338	0.07220288379
339	0.07204422179
340	0.07187382587
341	0.07161727456
342	0.07128822062
343	0.07102560211
344	0.07094520852
345	0.07088819475
346	0.07058777299
347	0.07053124718
348	0.07043294903
349	0.07029815632
350	0.07009617077
351	0.06984714672
352	0.06958165399
353	0.06928294875
354	0.06910040077
355	0.06879348782
356	0.06864576763
357	0.06852791046
358	0.06841718812
359	0.06815345486
360	0.06801363573
361	0.06791734493
362	0.06780867384
363	0.06765385532
364	0.06750807493
365	0.06716797774
366	0.06713953356
367	0.06694213314
368	0.06675788207
369	0.06662084791
370	0.06652006015
371	0.06627886581
372	0.06613966474
373	0.0659491623
374	0.06582965849
375	0.06555523441
376	0.0654206128
377	0.06534679528
378	0.0652319792
379	0.06511740012
380	0.06491795306
381	0.06484967509
382	0.06465523594
383	0.06445194456
384	0.06432467702
385	0.06425879393
386	0.06418008746
387	0.06402401159
388	0.06388207329
389	0.06368480425
390	0.063535718
391	0.06343945108
392	0.06335470211
393	0.06316108521
394	0.06305299734
395	0.0629672685
396	0.06275941776
397	0.06255727809
398	0.06246621004
399	0.06233604189
400	0.06225311423
401	0.06215854475
402	0.06202912504
403	0.06191245039
404	0.06173712731
405	0.06157067429
406	0.06148922501
407	0.06130877831
408	0.0612217233
409	0.06110175713
410	0.06096367163
411	0.06077630468
412	0.06066225603
413	0.06057500351
414	0.06041983505
415	0.0602594177
416	0.06010871462
417	0.06002509594
418	0.05984062206
419	0.05979091153
420	0.05965317369
421	0.05946486571
422	0.05936222596
423	0.05922041582
424	0.0590628327
425	0.05892453641
426	0.05878571116
427	0.05852299883
428	0.05838832451
429	0.05819354649
430	0.05802048054
431	0.05791206683
432	0.05784682151
433	0.05772504682
434	0.05749338066
435	0.05738629556
436	0.05720559644
437	0.05712156172
438	0.05704347561
439	0.05691855133
440	0.05679921586
441	0.05668137121
442	0.05655099212
443	0.05642199855
444	0.05622448465
445	0.05609508466
446	0.05598588266
447	0.05591327157
448	0.05574513316
449	0.05558457851
450	0.05543944827
451	0.05532398199
452	0.05524110355
453	0.05512666497
454	0.05496893303
455	0.05485865253
456	0.05474278772
457	0.05456679532
458	0.05444515808
459	0.05431142571
460	0.05423452447
461	0.0541560122
462	0.05391571542
463	0.05382837838
464	0.05371109573
465	0.05355073988
466	0.05342229879
467	0.05333889408
468	0.05316677713
469	0.05307040206
470	0.05296817857
471	0.05288971478
472	0.05271287892
473	0.05261466641
474	0.05248461264
475	0.0523724416
476	0.05218363856
477	0.05208927504
478	0.05201669088
479	0.05193714405
480	0.05186263978
481	0.05170274431
482	0.05159502981
483	0.05153091871
484	0.05135562653
485	0.05125046769
486	0.05107776464
487	0.05088404678
488	0.05080762492
489	0.05069176479
490	0.05062782359
491	0.0505221699
492	0.05043415321
493	0.05035314607
494	0.05031170458
495	0.0502091621
496	0.05011942115
497	0.05000120128
498	0.04985615844
499	0.04971910546
500	0.04960683856
501	0.04955154708
502	0.04945026839
503	0.04934582855
504	0.04929467491
505	0.04917898718
506	0.04910576296
507	0.04907937056
508	0.04894351805
509	0.04885092894
510	0.04877525709
511	0.04864783538
512	0.04854369724
513	0.04845458105
514	0.04840982162
515	0.0482831107
516	0.04814484217
517	0.04807988657
518	0.04804504883
519	0.04797397037
520	0.04790167233
521	0.04770688812
522	0.04763802406
523	0.04756063338
524	0.04747719919
525	0.04736059179
526	0.04728655759
527	0.04721137278
528	0.04712190699
529	0.04703121064
530	0.04692693374
531	0.04682628067
532	0.04673421047
533	0.04663670095
534	0.04657728319
535	0.04652930184
536	0.04645662008
537	0.04631975537
538	0.04625889857
539	0.04617680957
540	0.04613697075
541	0.04609755265
542	0.04604645268
543	0.04598614461
544	0.04590391224
545	0.04582375891
546	0.04577240147
547	0.04569130132
548	0.04556728274
549	0.04547780769
550	0.04540086421
551	0.04526399266
552	0.04520230033
553	0.04511064061
554	0.04504414069
555	0.04502060028
556	0.04500289857
557	0.04489419867
558	0.04481904489
559	0.04472215769
560	0.04468509106
561	0.04463998429
562	0.04457394361
563	0.04451393931
564	0.04443813194
565	0.04435545959
566	0.04431423137
567	0.0442369964
568	0.04417349077
569	0.04409550829
570	0.04401162701
571	0.04397125335
572	0.04392222663
573	0.04385573399
574	0.04376678414
575	0.04370328916
576	0.04360881775
577	0.04355905855
578	0.04335810584
579	0.04328150727
580	0.04323026279
